fichier,feuille,rang,chaine,abonnes,date,entite,titre,verdict,commentaire
A_VERIFIER.xlsx,a verifier,50,LORIS GIULIANO,1920000,2025-12-12,CNIEL,LORIS GIULIANO - NAPOLI,collaboration remuneree,"""Remerciements 
Les Produits Laitiers
Maurizio - Lucifer Spritz & Food
Cibi Cotti…"" >> pourquoi ça n'a pas enregistré ce morceau-là?"
A_VERIFIER.xlsx,a verifier,51,Juste Zoé,1560000,2024-04-20,CNIEL,JE VOUS PRÉSENTE MON NOUVEAU PAPI ( il est épique ),collaboration remuneree,"la description contient ""Collaboration commerciale avec Danone. 
Depuis plus de 100 ans, @danoneyaourt accompagne les Français dans la transmission de bonnes habitudes au quotidien de génération en génération. Danone Le Nature, Danone Velouté Nature et Danone Skyr Nature sont sources de calcium et sont fabriqués avec du lait 100% Français. En savoir plus sur danone.fr"" >> c'est ça qui aurait dû être enregistré"
A_VERIFIER.xlsx,a verifier,52,Domingo Gomes,1350000,2026-02-03,CLIPP,Comparé Los Mejores Mandos para Teléfonos,hors sujet,vidéo hispanophone
A_VERIFIER.xlsx,a verifier,53,RebeuDeter,1060000,2021-12-18,CNIEL,On a visité le fin fond de la France avec Amine,collaboration remuneree,
A_VERIFIER.xlsx,a verifier,54,RebeuDeter,1060000,2022-02-26,CNIEL,Ma première fois avec Amine au ski,collaboration remuneree,
A_VERIFIER.xlsx,a verifier,55,RebeuDeter,1060000,2023-07-24,CLIPP,Mon nouveau mate pour le GP Explorer ?,hors sujet,"""Comme promis voici le lien de l’offre de zinzin que j’ai créé avec Crunchyroll: http://www.crunchyroll.com/rebeudeter
Profitez bien des 60 jours d’essai gratuit à Crunchyroll PREMIUM ! Et un gros merci à Crunchyroll pour tout ça 🙏🏼❤️"" >> plateforme de VOD"
A_VERIFIER.xlsx,a verifier,56,RebeuDeter,1060000,2023-09-14,CNIEL,On s'envoie sur une île avec Amine 🏝️,collaboration remuneree,
A_VERIFIER.xlsx,a verifier,57,FlorianOnAir,734000,2017-12-22,CIFOG,Un KFC RÖSTI RACLETTE pour NOEL + Un menu GOURMET - VLOG #511,je ne sais pas,"""VLOG de NOËL avec la dégustation des sandwiches KFC d'hiver:  Rösti RACLETTE et Boxmaster REBLOCHON"" >> C'est bizarre, mais je ne suis certain que ce soir une collaboration rémunérée. La portion où il mange le truc de KFC est le plus rejouée, mais il n'y a pas de d'onglet 'collaboration commerciale' à l'écran. Est-ce possible que ça en ait été une par le passé, mais que l'indication ait disparue quand le contrat est devenu caduque. C'est vraiment étrange un passage de plusieurs minutes sur un produit KFC comme ça.ça ressemble vraiment à une collaboration commerciale. La vidéo date de 2017. Peut-être n'était-ce pas encore obligé de signaler les collaborations commerciales?"
A_VERIFIER.xlsx,a verifier,58,FlorianOnAir,734000,2018-02-08,CIFOG,Sous la NEIGE avec un HOT DOG au CANARD et FOIE GRAS - VLOG #537,je ne sais pas,"""Malgré la neige, je vais manger dehors pour tester le kiosque créé à Paris par l'enseigne toulousaine ""Duck Me"" (http://www.duckme.fr).
La spécialité? Le ""Hot Duck"", un HOT DOG à la saucisse de CANARD, que l'on peut customiser avec des toppings comme du FOIE GRAS ou du MAGRET."" >> Pareil"
A_VERIFIER.xlsx,a verifier,59,FlorianOnAir,734000,2018-05-18,INAPORC,DEGUSTATION : Un PLAT EXQUIS par un GRAND CHEF dans un RESTO TENDANCE ! - VLOG #594,collaboration remuneree,
A_VERIFIER.xlsx,a verifier,60,FlorianOnAir,734000,2018-05-29,CIFOG,A VOLONTE: On DEPOUILLE le + GRAND BUFFET d'EUROPE! - VLOG #600,hors sujet,
A_VERIFIER.xlsx,a verifier,61,FlorianOnAir,734000,2018-09-19,INTERBEV,MEILLEUR SNACK : GROSSES BARQUETTES de VIANDE + FROMAGE FONDU -  S2E02,hors sujet,
A_VERIFIER.xlsx,a verifier,62,FlorianOnAir,734000,2018-09-25,CIFOG,N°1 sur TripAdvisor : Est ce vraiment l'un des MEILLEURS RESTOS de PARIS? - VLOG #671,hors sujet,
A_VERIFIER.xlsx,a verifier,63,FlorianOnAir,734000,2018-10-25,INAPORC,"Ce soir, c'est moi qui prépare l'APERO !! -  VLOG #688",collaboration remuneree,
A_VERIFIER.xlsx,a verifier,64,FlorianOnAir,734000,2018-12-11,CIFOG,Mes 1ers BURGERS de NOEL de l'année à LILLE! -  VLOG #713,hors sujet,
A_VERIFIER.xlsx,a verifier,65,FlorianOnAir,734000,2019-05-01,CIFOG,PUR KIFF : GRATIN DAUPHINOIS à VOLONTE à TOULOUSE! - VLOG #792,hors sujet,
A_VERIFIER.xlsx,a verifier,66,FlorianOnAir,734000,2019-10-25,CIFOG,On teste les RAMEN d'un CHEF ETOILÉ - VLOG #895,hors sujet,
A_VERIFIER.xlsx,a verifier,67,FlorianOnAir,734000,2019-12-03,CIFOG,"Le CHEF est FOU : BURGER de LUXE, HOMARD, PÂTES : je goûte tout!... - VLOG #922",hors sujet,
A_VERIFIER.xlsx,a verifier,68,FlorianOnAir,734000,2020-02-03,CIFOG,GASTRONOMIQUE? Il revisite des PLATS CORÉENS et ... (feat Fanny J) -V LOG #953,hors sujet,
A_VERIFIER.xlsx,a verifier,69,FlorianOnAir,734000,2020-10-30,INTERBEV,Elle veut RÉVOLUTIONNER le FAST FOOD avec ce NOUVEAU SANDWICH ! -VLOG #1073,hors sujet,
A_VERIFIER.xlsx,a verifier,70,FlorianOnAir,734000,2020-11-11,CIFOG,DES SANDWICHS XXL de HAUTE QUALITÉ :Possible? Je teste! - VLOG #1081,hors sujet,
